threads,delta,light,rebuilds,time_es
2,1,60,5,510.93
2,11,60,5,242.224
2,21,60,5,176.1148
2,31,60,5,144.02280000000002
2,41,60,5,118.67580000000001
2,51,60,5,100.4148
2,61,60,5,93.9494
2,71,60,5,81.0414
2,81,60,5,77.12519999999999
2,91,60,5,66.7576
2,101,60,5,66.09360000000001
2,111,60,5,64.3806
2,121,60,5,62.622400000000006
2,131,60,5,61.0538
2,141,60,5,56.9674
2,151,60,5,54.571400000000004
2,161,60,5,49.5488
2,171,60,5,51.251400000000004
2,181,60,5,50.0918
2,191,60,5,53.04880000000001
2,201,60,5,45.3344
2,211,60,5,50.126799999999996
2,221,60,5,44.7648
2,231,60,5,48.0668
2,241,60,5,49.047000000000004
2,251,60,5,48.5724
2,261,60,5,47.4514
2,271,60,5,42.568200000000004
2,281,60,5,44.1418
2,291,60,5,43.063
3,1,60,5,615.212
3,11,60,5,290.826
3,21,60,5,237.58800000000002
3,31,60,5,176.7972
3,41,60,5,153.1572
3,51,60,5,135.3184
3,61,60,5,130.5582
3,71,60,5,124.05
3,81,60,5,110.3922
3,91,60,5,99.0282
3,101,60,5,109.3444
3,111,60,5,86.41
3,121,60,5,86.14959999999999
3,131,60,5,84.774
3,141,60,5,75.8082
3,151,60,5,78.81739999999999
3,161,60,5,71.5532
3,171,60,5,72.39779999999999
3,181,60,5,73.9092
3,191,60,5,66.85679999999999
3,201,60,5,62.057399999999994
3,211,60,5,61.821600000000004
3,221,60,5,69.2432
3,231,60,5,61.489599999999996
3,241,60,5,56.9744
3,251,60,5,60.4202
3,261,60,5,65.2896
3,271,60,5,65.57759999999999
3,281,60,5,53.2534
3,291,60,5,56.6044
4,1,60,5,728.452
4,11,60,5,419.30600000000004
4,21,60,5,337.41999999999996
4,31,60,5,260.07
4,41,60,5,245.61599999999999
4,51,60,5,191.3578
4,61,60,5,181.4284
4,71,60,5,169.611
4,81,60,5,147.62
4,91,60,5,138.0598
4,101,60,5,126.95599999999999
4,111,60,5,124.6392
4,121,60,5,112.38340000000001
4,131,60,5,112.24480000000001
4,141,60,5,105.8714
4,151,60,5,102.7114
4,161,60,5,102.78659999999999
4,171,60,5,92.1298
4,181,60,5,94.95599999999999
4,191,60,5,87.3672
4,201,60,5,78.9084
4,211,60,5,87.9032
4,221,60,5,81.3486
4,231,60,5,83.36760000000001
4,241,60,5,80.9134
4,251,60,5,82.1768
4,261,60,5,80.60560000000001
4,271,60,5,69.8104
4,281,60,5,75.87960000000001
4,291,60,5,75.3966
5,1,60,5,860.4200000000001
5,11,60,5,529.072
5,21,60,5,436.02
5,31,60,5,328.68
5,41,60,5,297.896
5,51,60,5,272.844
5,61,60,5,228.11399999999998
5,71,60,5,210.42399999999998
5,81,60,5,189.8402
5,91,60,5,195.7396
5,101,60,5,177.2786
5,111,60,5,154.8604
5,121,60,5,150.53699999999998
5,131,60,5,152.3026
5,141,60,5,128.6514
5,151,60,5,128.6646
5,161,60,5,127.3964
5,171,60,5,127.0094
5,181,60,5,116.81099999999999
5,191,60,5,108.29659999999998
5,201,60,5,116.05239999999999
5,211,60,5,111.0282
5,221,60,5,104.56379999999999
5,231,60,5,102.7328
5,241,60,5,97.163
5,251,60,5,100.4024
5,261,60,5,91.8296
5,271,60,5,92.072
5,281,60,5,85.93339999999999
5,291,60,5,94.1262
6,1,60,5,1023.124
6,11,60,5,686.434
6,21,60,5,550.338
6,31,60,5,448.492
6,41,60,5,378.758
6,51,60,5,324.998
6,61,60,5,323.31
6,71,60,5,264.78000000000003
6,81,60,5,270.928
6,91,60,5,216.93200000000002
6,101,60,5,224.66799999999998
6,111,60,5,199.173
6,121,60,5,188.283
6,131,60,5,182.6966
6,141,60,5,167.94580000000002
6,151,60,5,170.4098
6,161,60,5,148.7924
6,171,60,5,143.154
6,181,60,5,140.06220000000002
6,191,60,5,138.5172
6,201,60,5,133.9168
6,211,60,5,126.57239999999999
6,221,60,5,132.986
6,231,60,5,118.53659999999999
6,241,60,5,119.6836
6,251,60,5,119.85139999999998
6,261,60,5,115.15979999999999
6,271,60,5,107.3732
6,281,60,5,105.07560000000001
6,291,60,5,102.77799999999999
7,1,60,5,1331.9479999999999
7,11,60,5,962.914
7,21,60,5,652.778
7,31,60,5,537.068
7,41,60,5,475.308
7,51,60,5,406.424
7,61,60,5,327.222
7,71,60,5,322.16999999999996
7,81,60,5,281.92600000000004
7,91,60,5,266.482
7,101,60,5,235.402
7,111,60,5,231.702
7,121,60,5,216.292
7,131,60,5,194.3626
7,141,60,5,188.3576
7,151,60,5,177.95940000000002
7,161,60,5,172.38119999999998
7,171,60,5,161.6162
7,181,60,5,156.5986
7,191,60,5,153.17739999999998
7,201,60,5,152.3594
7,211,60,5,135.75119999999998
7,221,60,5,139.2816
7,231,60,5,133.6882
7,251,60,5,128.6098
7,261,60,5,128.4898
7,271,60,5,123.3288
7,281,60,5,121.2752
7,291,60,5,116.3068
8,1,60,5,1327.206
8,11,60,5,945.01
8,21,60,5,671.8520000000001
8,31,60,5,606.46
8,41,60,5,513.53
8,51,60,5,449.878
8,61,60,5,371.384
8,71,60,5,353.214
8,81,60,5,317.07
8,91,60,5,281.526
8,101,60,5,273.268
8,111,60,5,250.56
8,121,60,5,234.42
8,131,60,5,212.302
8,141,60,5,209.26999999999998
8,151,60,5,191.94580000000002
8,161,60,5,188.7576
8,171,60,5,173.15619999999998
8,181,60,5,166.0366
8,191,60,5,162.3586
8,201,60,5,162.2926
8,211,60,5,156.4558
8,221,60,5,153.612
8,231,60,5,144.7452
8,241,60,5,144.5724
8,251,60,5,138.0186
8,261,60,5,138.8938
8,271,60,5,137.05360000000002
8,281,60,5,131.51
8,291,60,5,130.7872
9,1,60,5,1746.6380000000001
9,11,60,5,1248.4
9,21,60,5,826.622
9,31,60,5,713.2180000000001
9,41,60,5,574.018
9,51,60,5,521.388
9,61,60,5,445.33000000000004
9,71,60,5,402.272
9,81,60,5,366.548
9,91,60,5,327.45
9,101,60,5,300.82399999999996
9,111,60,5,279.03000000000003
9,121,60,5,263.89
9,131,60,5,247.82
9,141,60,5,242.51399999999998
9,151,60,5,226.064
9,161,60,5,210.56199999999998
9,171,60,5,201.98
9,181,60,5,195.03019999999998
9,191,60,5,186.9716
9,201,60,5,176.6268
9,211,60,5,180.3142
9,221,60,5,171.44639999999998
9,231,60,5,166.5268
9,241,60,5,164.3656
9,251,60,5,161.0772
9,261,60,5,158.63119999999998
9,271,60,5,151.8268
9,281,60,5,147.6236
9,291,60,5,142.9948
